player,team,salary_2025_2026,position,age,points_per_game,assists_per_game,blocks_per_game,rebounds_per_game,steals_per_game,draft_year,pick_number,team_drafted_by,college,years_played,win_shares,win_shares_per_year
Jeremy Sochan,SAS,7096231,PF,21,11.4,2.4,0.5,6.6,0.8,2022,9,SAS,Baylor,3,4.2,1.4000000000000001
Egor Demin,BRK,6889200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jevon Carter,CHI,6809524,PG,29,4.3,1.1,0.1,1.1,0.4,2018,32,MEM,West Virginia,7,8.5,1.2142857142857142
Ousmane Dieng,OKC,6670882,C,21,3.8,0.8,0.2,2.2,0.5,2022,11,NYK,NA,3,1.7,0.5666666666666667
Jarace Walker,IND,6665520,PF,21,6.1,1.5,0.3,3,0.7,2023,8,WAS,Houston,2,2,1
Dean Wade,CLE,6623456,PF,28,5.4,1.3,0.3,4.3,0.7,NA,NA,NA,NA,NA,NA,NA
Jalen Williams,OKC,6580997,SG,23,21.6,5.1,0.7,5.4,1.6,2022,12,OKC,Santa Clara,3,20.7,6.8999999999999995
Rob Dillingham,MIN,6576120,PG,20,4.5,2,0,1,0.4,2024,8,SAS,Kentucky,1,0.1,0.1
Jalen Duren,DET,6483144,C,21,11.8,2.7,1.1,10.4,0.7,2022,13,CHO,Memphis,3,18.6,6.2
Ochai Agbaji,TOR,6383525,SG,24,10.4,1.5,0.5,3.8,0.9,2022,14,CLE,Kansas,3,4.5,1.5
Collin Murray-Boyles,TOR,6332520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Williams,PHO,6276531,C,23,15.3,2.5,1.2,10.2,0.7,2022,15,CHO,Duke,3,9.7,3.233333333333333
